id,category,rule,tokens,held_fraction,divergences,forward_passes,speedup,naive_salvage,correct
doc-change-decade,doc_summary,"confidence_gated:tau=3.0,p_cut=0.9",69,0.942,1,13,5.3077,0.0625,pass
doc-change-decade,doc_summary,entropy_scaled:tau=1.5,69,0.942,1,13,5.3077,0.0625,pass
doc-change-decade,doc_summary,entropy_scaled:tau=3.0,69,0.942,1,13,5.3077,0.0625,pass
doc-change-shrink-fraction,doc_summary,tau:0.0,105,0.2,8,113,0.9292,0.3494,pass
doc-change-shrink-fraction,doc_summary,tau:1.5,69,0.8986,2,20,3.45,0.3494,pass
doc-change-shrink-fraction,doc_summary,tau:3.0,69,0.8986,2,20,3.45,0.3494,pass
doc-change-shrink-fraction,doc_summary,"confidence_gated:tau=1.5,p_cut=0.9",69,0.8986,2,20,3.45,0.3494,pass
doc-change-shrink-fraction,doc_summary,"confidence_gated:tau=3.0,p_cut=0.9",69,0.8986,2,20,3.45,0.3494,pass
doc-change-shrink-fraction,doc_summary,entropy_scaled:tau=1.5,84,0.6548,3,42,2.0,0.3494,pass
doc-change-shrink-fraction,doc_summary,entropy_scaled:tau=3.0,69,0.8986,2,20,3.45,0.3494,pass
fact-third-country-overtakes,fact_answer,tau:0.0,146,0.0685,4,150,0.9733,0.1457,FAIL
fact-third-country-overtakes,fact_answer,tau:1.5,146,0.0685,4,150,0.9733,0.1457,FAIL
fact-third-country-overtakes,fact_answer,tau:3.0,146,0.0685,4,150,0.9733,0.1457,FAIL
fact-third-country-overtakes,fact_answer,"confidence_gated:tau=1.5,p_cut=0.9",146,0.0685,4,150,0.9733,0.1457,FAIL
fact-third-country-overtakes,fact_answer,"confidence_gated:tau=3.0,p_cut=0.9",146,0.0685,4,150,0.9733,0.1457,FAIL
fact-third-country-overtakes,fact_answer,entropy_scaled:tau=1.5,146,0.0685,4,150,0.9733,0.1457,FAIL
fact-third-country-overtakes,fact_answer,entropy_scaled:tau=3.0,146,0.0685,4,150,0.9733,0.1457,FAIL
fact-change-capital-value,fact_answer,tau:0.0,56,0.3929,5,50,1.12,0.617,FAIL
fact-change-capital-value,fact_answer,tau:1.5,61,0.377,5,59,1.0339,0.617,FAIL
fact-change-capital-value,fact_answer,tau:3.0,61,0.377,5,59,1.0339,0.617,FAIL
fact-change-capital-value,fact_answer,"confidence_gated:tau=1.5,p_cut=0.9",61,0.377,5,59,1.0339,0.617,FAIL
fact-change-capital-value,fact_answer,"confidence_gated:tau=3.0,p_cut=0.9",61,0.377,5,59,1.0339,0.617,FAIL
fact-change-capital-value,fact_answer,entropy_scaled:tau=1.5,56,0.3929,5,50,1.12,0.617,FAIL
fact-change-capital-value,fact_answer,entropy_scaled:tau=3.0,61,0.377,5,59,1.0339,0.617,FAIL
code-rename-var,code_review,tau:0.0,125,0.464,10,99,1.2626,0.0254,pass
code-rename-var,code_review,tau:1.5,165,0.1515,11,175,0.9429,0.0254,pass
code-rename-var,code_review,tau:3.0,165,0.1515,11,175,0.9429,0.0254,pass
code-rename-var,code_review,"confidence_gated:tau=1.5,p_cut=0.9",165,0.1515,11,175,0.9429,0.0254,pass
code-rename-var,code_review,"confidence_gated:tau=3.0,p_cut=0.9",165,0.1515,11,175,0.9429,0.0254,pass
code-rename-var,code_review,entropy_scaled:tau=1.5,166,0.4277,12,135,1.2296,0.0254,pass
code-rename-var,code_review,entropy_scaled:tau=3.0,165,0.1515,11,175,0.9429,0.0254,pass
code-introduce-bug,code_review,tau:0.0,224,0.1429,10,236,0.9492,0.7231,pass
code-introduce-bug,code_review,tau:1.5,243,0.1646,9,243,1.0,0.7231,FAIL
code-introduce-bug,code_review,tau:3.0,148,0.2635,7,139,1.0647,0.7231,FAIL
code-introduce-bug,code_review,"confidence_gated:tau=1.5,p_cut=0.9",243,0.1646,9,243,1.0,0.7231,FAIL
code-introduce-bug,code_review,"confidence_gated:tau=3.0,p_cut=0.9",148,0.2635,7,139,1.0647,0.7231,FAIL
code-introduce-bug,code_review,entropy_scaled:tau=1.5,220,0.1682,9,223,0.9865,0.7231,FAIL
code-introduce-bug,code_review,entropy_scaled:tau=3.0,243,0.1646,9,243,1.0,0.7231,FAIL
code-add-guard,code_review,tau:0.0,210,0.2524,7,194,1.0825,0.3231,pass
code-add-guard,code_review,tau:1.5,150,0.3933,7,127,1.1811,0.3231,pass
code-add-guard,code_review,tau:3.0,211,0.2085,7,202,1.0446,0.3231,pass
code-add-guard,code_review,"confidence_gated:tau=1.5,p_cut=0.9",150,0.3933,7,127,1.1811,0.3231,pass
code-add-guard,code_review,"confidence_gated:tau=3.0,p_cut=0.9",211,0.2085,7,202,1.0446,0.3231,pass
code-add-guard,code_review,entropy_scaled:tau=1.5,150,0.3933,7,127,1.1811,0.3231,pass
code-add-guard,code_review,entropy_scaled:tau=3.0,211,0.2085,7,202,1.0446,0.3231,pass
code-reformat-whitespace,code_review,tau:0.0,162,0.1296,9,176,0.9205,0.2195,pass
code-reformat-whitespace,code_review,tau:1.5,178,0.4494,9,137,1.2993,0.2195,pass
code-reformat-whitespace,code_review,tau:3.0,147,0.8639,5,53,2.7736,0.2195,pass
code-reformat-whitespace,code_review,"confidence_gated:tau=1.5,p_cut=0.9",178,0.4494,9,137,1.2993,0.2195,pass
code-reformat-whitespace,code_review,"confidence_gated:tau=3.0,p_cut=0.9",147,0.8639,5,53,2.7736,0.2195,pass
code-reformat-whitespace,code_review,entropy_scaled:tau=1.5,172,0.2035,8,172,1.0,0.2195,pass
code-reformat-whitespace,code_review,entropy_scaled:tau=3.0,143,0.3147,9,120,1.1917,0.2195,pass
code-add-typehints,code_review,tau:0.0,115,0.2522,6,111,1.036,0.2303,pass
code-add-typehints,code_review,tau:1.5,170,0.1941,14,177,0.9605,0.2303,pass
code-add-typehints,code_review,tau:3.0,169,0.2012,13,171,0.9883,0.2303,pass
code-add-typehints,code_review,"confidence_gated:tau=1.5,p_cut=0.9",170,0.1941,14,177,0.9605,0.2303,pass
code-add-typehints,code_review,"confidence_gated:tau=3.0,p_cut=0.9",169,0.2012,13,171,0.9883,0.2303,pass
code-add-typehints,code_review,entropy_scaled:tau=1.5,170,0.1941,14,177,0.9605,0.2303,pass
code-add-typehints,code_review,entropy_scaled:tau=3.0,170,0.1941,14,177,0.9605,0.2303,pass
code-break-logic,code_review,tau:0.0,485,0.0598,4,471,1.0297,0.0879,pass
code-break-logic,code_review,tau:1.5,163,0.2393,10,165,0.9879,0.0879,FAIL
code-break-logic,code_review,tau:3.0,395,0.1342,6,373,1.059,0.0879,FAIL
code-break-logic,code_review,"confidence_gated:tau=1.5,p_cut=0.9",163,0.2393,10,165,0.9879,0.0879,FAIL
code-break-logic,code_review,"confidence_gated:tau=3.0,p_cut=0.9",417,0.1247,7,396,1.053,0.0879,pass
code-break-logic,code_review,entropy_scaled:tau=1.5,485,0.0598,4,471,1.0297,0.0879,pass
code-break-logic,code_review,entropy_scaled:tau=3.0,383,0.1488,9,367,1.0436,0.0879,FAIL
doc-typo-fix,doc_summary,tau:0.0,91,0.2637,10,102,0.8922,0.2748,pass
doc-typo-fix,doc_summary,tau:1.5,69,0.942,1,13,5.3077,0.2748,pass
doc-typo-fix,doc_summary,tau:3.0,69,0.942,1,13,5.3077,0.2748,pass
doc-typo-fix,doc_summary,"confidence_gated:tau=1.5,p_cut=0.9",69,0.942,1,13,5.3077,0.2748,pass
doc-typo-fix,doc_summary,"confidence_gated:tau=3.0,p_cut=0.9",69,0.942,1,13,5.3077,0.2748,pass
doc-typo-fix,doc_summary,entropy_scaled:tau=1.5,69,0.942,1,13,5.3077,0.2748,pass
doc-typo-fix,doc_summary,entropy_scaled:tau=3.0,69,0.942,1,13,5.3077,0.2748,pass
doc-append-sentence,doc_summary,tau:0.0,100,0.31,6,93,1.0753,0.271,pass
doc-append-sentence,doc_summary,tau:1.5,96,0.375,6,85,1.1294,0.271,pass
doc-append-sentence,doc_summary,tau:3.0,96,0.375,6,85,1.1294,0.271,pass
doc-append-sentence,doc_summary,"confidence_gated:tau=1.5,p_cut=0.9",96,0.375,6,85,1.1294,0.271,pass
doc-append-sentence,doc_summary,"confidence_gated:tau=3.0,p_cut=0.9",96,0.375,6,85,1.1294,0.271,pass
doc-append-sentence,doc_summary,entropy_scaled:tau=1.5,100,0.31,6,93,1.0753,0.271,pass
doc-append-sentence,doc_summary,entropy_scaled:tau=3.0,90,0.4111,5,78,1.1538,0.271,FAIL
doc-reword-middle,doc_summary,tau:0.0,69,0.3623,6,73,0.9452,0.597,FAIL
doc-reword-middle,doc_summary,tau:1.5,67,0.4328,6,67,1.0,0.597,FAIL
doc-reword-middle,doc_summary,tau:3.0,67,0.4328,6,67,1.0,0.597,FAIL
doc-reword-middle,doc_summary,"confidence_gated:tau=1.5,p_cut=0.9",67,0.4328,6,67,1.0,0.597,FAIL
doc-reword-middle,doc_summary,"confidence_gated:tau=3.0,p_cut=0.9",67,0.4328,6,67,1.0,0.597,FAIL
doc-reword-middle,doc_summary,entropy_scaled:tau=1.5,69,0.3623,6,73,0.9452,0.597,FAIL
doc-reword-middle,doc_summary,entropy_scaled:tau=3.0,67,0.4328,6,67,1.0,0.597,FAIL
doc-append-unrelated,doc_summary,tau:0.0,0,0.0,1,0,0.0,0.0,FAIL
doc-append-unrelated,doc_summary,tau:1.5,0,0.0,1,0,0.0,0.0,FAIL
doc-append-unrelated,doc_summary,tau:3.0,0,0.0,1,0,0.0,0.0,FAIL
doc-append-unrelated,doc_summary,"confidence_gated:tau=1.5,p_cut=0.9",0,0.0,1,0,0.0,0.0,FAIL
doc-append-unrelated,doc_summary,"confidence_gated:tau=3.0,p_cut=0.9",0,0.0,1,0,0.0,0.0,FAIL
doc-append-unrelated,doc_summary,entropy_scaled:tau=1.5,0,0.0,1,0,0.0,0.0,FAIL
doc-append-unrelated,doc_summary,entropy_scaled:tau=3.0,0,0.0,1,0,0.0,0.0,FAIL
doc-fix-punctuation,doc_summary,tau:0.0,55,0.3818,4,54,1.0185,0.3333,pass
doc-fix-punctuation,doc_summary,tau:1.5,45,0.8889,1,16,2.8125,0.3333,FAIL
doc-fix-punctuation,doc_summary,tau:3.0,45,0.8889,1,16,2.8125,0.3333,FAIL
doc-fix-punctuation,doc_summary,"confidence_gated:tau=1.5,p_cut=0.9",45,0.8889,1,16,2.8125,0.3333,FAIL
doc-fix-punctuation,doc_summary,"confidence_gated:tau=3.0,p_cut=0.9",45,0.8889,1,16,2.8125,0.3333,FAIL
doc-fix-punctuation,doc_summary,entropy_scaled:tau=1.5,55,0.3818,4,54,1.0185,0.3333,pass
doc-fix-punctuation,doc_summary,entropy_scaled:tau=3.0,45,0.8889,1,16,2.8125,0.3333,FAIL
doc-change-key-fact,doc_summary,tau:0.0,61,0.3279,3,56,1.0893,0.3235,pass
doc-change-key-fact,doc_summary,tau:1.5,35,0.6857,2,22,1.5909,0.3235,pass
doc-change-key-fact,doc_summary,tau:3.0,35,0.6857,2,22,1.5909,0.3235,pass
doc-change-key-fact,doc_summary,"confidence_gated:tau=1.5,p_cut=0.9",35,0.6857,2,22,1.5909,0.3235,pass
doc-change-key-fact,doc_summary,"confidence_gated:tau=3.0,p_cut=0.9",35,0.6857,2,22,1.5909,0.3235,pass
doc-change-key-fact,doc_summary,entropy_scaled:tau=1.5,61,0.3279,3,56,1.0893,0.3235,pass
doc-change-key-fact,doc_summary,entropy_scaled:tau=3.0,35,0.6857,2,22,1.5909,0.3235,pass
fact-irrelevant-row,fact_answer,tau:0.0,136,0.0441,3,144,0.9444,0.2027,FAIL
fact-irrelevant-row,fact_answer,tau:1.5,136,0.0441,3,144,0.9444,0.2027,FAIL
fact-irrelevant-row,fact_answer,tau:3.0,179,0.0447,3,185,0.9676,0.2027,pass
fact-irrelevant-row,fact_answer,"confidence_gated:tau=1.5,p_cut=0.9",136,0.0441,3,144,0.9444,0.2027,FAIL
fact-irrelevant-row,fact_answer,"confidence_gated:tau=3.0,p_cut=0.9",179,0.0447,3,185,0.9676,0.2027,pass
fact-irrelevant-row,fact_answer,entropy_scaled:tau=1.5,136,0.0441,3,144,0.9444,0.2027,FAIL
fact-irrelevant-row,fact_answer,entropy_scaled:tau=3.0,136,0.0441,3,144,0.9444,0.2027,FAIL
fact-answer-changing-edit,fact_answer,tau:0.0,64,0.4062,4,54,1.1852,0.2925,pass
fact-answer-changing-edit,fact_answer,tau:1.5,39,0.5897,4,27,1.4444,0.2925,pass
fact-answer-changing-edit,fact_answer,tau:3.0,103,0.2621,4,97,1.0619,0.2925,pass
fact-answer-changing-edit,fact_answer,"confidence_gated:tau=1.5,p_cut=0.9",39,0.5897,4,27,1.4444,0.2925,pass
fact-answer-changing-edit,fact_answer,"confidence_gated:tau=3.0,p_cut=0.9",103,0.2621,4,97,1.0619,0.2925,pass
fact-answer-changing-edit,fact_answer,entropy_scaled:tau=1.5,64,0.4062,4,54,1.1852,0.2925,pass
fact-answer-changing-edit,fact_answer,entropy_scaled:tau=3.0,64,0.4062,4,54,1.1852,0.2925,pass
fact-relabel-column,fact_answer,tau:0.0,130,0.0692,3,136,0.9559,0.1409,pass
fact-relabel-column,fact_answer,tau:1.5,130,0.0692,3,136,0.9559,0.1409,pass
fact-relabel-column,fact_answer,tau:3.0,130,0.0692,3,136,0.9559,0.1409,pass
fact-relabel-column,fact_answer,"confidence_gated:tau=1.5,p_cut=0.9",130,0.0692,3,136,0.9559,0.1409,pass
fact-relabel-column,fact_answer,"confidence_gated:tau=3.0,p_cut=0.9",130,0.0692,3,136,0.9559,0.1409,pass
fact-relabel-column,fact_answer,entropy_scaled:tau=1.5,130,0.0692,3,136,0.9559,0.1409,pass
fact-relabel-column,fact_answer,entropy_scaled:tau=3.0,130,0.0692,3,136,0.9559,0.1409,pass
